FIRM,class,Start,End,Length,Night,Gap,WS,idx,Base,StartAdj,LenAdj,Comp,Trans,Press,p1s,p1l,p2s,p2l,MalAdj,NFZ,AFZ,MFZ
0,0,145,740,595,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,0,845,0,0,0,0,0,0
1,0,1225,1940,715,1,999,1,1,2.00,0.00,0.00,0.00,-1.33,0.00,0,595,0,845,0,0,0,0
3,0,475,910,435,0,999,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,1,715,0,595,0,0,0,0
0,0,865,1583,718,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,3,435,1,715,0,0,0,0
4,0,535,1250,715,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,0,718,3,435,0,0,0,0
-2,1,1350,2050,700,1,999,0,2,2.00,0.00,0.00,0.00,-3.00,-1.00,4,715,0,718,0,0,0,0
-6,0,880,1540,660,0,999,0,6,5.00,0.00,0.00,0.00,-6.00,-5.17,0,0,0,0,0,0,0,0
-10,0,160,970,810,1,999,0,7,2.00,0.00,-1.50,0.00,-8.00,-7.17,-6,660,0,0,0,0,0,0
-10,0,640,1425,785,0,999,0,8,5.00,0.00,-0.50,0.00,-9.00,-8.50,-10,810,-6,660,0,0,0,0
-1,0,1030,1810,780,1,999,1,1,2.00,0.00,-1.00,0.00,-2.00,0.00,-10,785,-10,810,0,0,0,0
-1,0,1090,1690,600,1,720,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,-1,780,-10,785,0,0,0,0
-5,0,190,970,780,0,999,0,3,5.00,-4.75,-0.50,0.00,-3.00,-1.67,-1,600,-1,780,0,0,0,0
-6,0,955,1615,660,1,999,0,4,2.00,0.00,0.00,0.00,-5.00,-2.67,-5,780,-1,600,0,0,0,0
-10,0,1240,2170,930,1,999,0,5,2.00,0.00,-6.00,0.00,-5.00,-4.17,-6,660,-5,780,0,0,0,0
-10,0,1345,2185,840,1,615,0,6,2.00,0.00,-2.00,-1.75,-5.00,-5.67,-10,930,-6,660,0,0,0,0
-8,0,1210,1480,270,0,999,0,7,5.00,0.00,0.00,0.00,-6.00,-6.67,-10,840,-10,930,0,0,0,0
-9,0,810,1530,720,0,770,0,8,5.00,0.00,0.00,0.00,-6.00,-8.00,-8,270,-10,840,0,0,0,0
-10,0,940,1660,720,1,850,0,9,2.00,0.00,0.00,0.00,-8.00,-10.00,-9,720,-8,270,0,0,0,0
-10,0,1270,1750,480,1,999,0,10,2.00,0.00,0.00,0.00,-8.00,-12.00,-10,720,-9,720,0,0,0,0
-10,0,655,1315,660,0,999,0,11,5.00,0.00,0.00,0.00,-9.00,-13.33,-10,480,-10,720,0,0,0,0
-10,1,1180,1470,290,0,999,0,12,5.00,0.00,0.00,0.00,-9.00,-14.67,-10,660,-10,480,0,0,0,0
1,0,415,835,420,0,999,0,4,5.00,-1.00,0.00,0.00,-1.00,-2.33,0,0,0,0,0,0,0,0
1,0,880,1360,480,0,999,1,5,5.00,0.00,0.00,0.00,-1.00,-3.00,1,420,0,0,0,0,0,0
-1,0,701,1510,809,0,781,0,6,5.00,0.00,-0.75,0.00,-1.00,-4.00,1,480,1,420,0,0,0,0
0,0,940,1640,700,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,-1,809,1,480,0,0,0,0
3,0,685,1405,720,0,999,0,2,5.00,0.00,0.00,0.00,-1.33,-0.67,0,700,-1,809,0,0,0,0
-3,0,145,805,660,1,999,0,3,2.00,0.00,0.00,0.00,-3.00,-1.67,3,720,0,700,0,0,0,0
-6,0,1375,2005,630,1,570,0,4,2.00,0.00,0.00,-2.50,-3.00,-2.67,-3,660,3,720,0,0,0,0
2,0,1180,1840,660,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-6,630,-3,660,0,0,0,0
1,0,1180,1570,390,1,780,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,660,-6,630,0,0,0,0
2,0,1180,1480,300,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,1,390,2,660,0,0,0,0
-4,0,1180,1720,540,1,999,0,4,2.00,0.00,0.00,0.00,-3.00,-2.67,2,300,1,390,0,0,0,0
-5,0,1180,1660,480,1,900,0,5,2.00,0.00,0.00,0.00,-3.00,-3.67,-4,540,2,300,0,0,0,0
4,1,1180,1470,290,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-5,480,-4,540,0,0,0,0
